rnd.dwii || yang disembur ada di skript ga dil?😭🤣
saskiandarini || 😂😂😂
ptrkrnanns || Hih awas beneran loh pak muh
lorenzaroseville || Kayak kode ga sih teh @risa_saraswati @indyratnap @rianarizki @tim_jurnalrisa
rizqunaa_henna || 😂
ariethaar || 😭
piepie_mgwa || 😂😂😂selalu lucu keluarga ini ❤️❤️❤️❤️dan harmonis
dhani_coach || 😂
hamsinaasri_ || 😭😭😭
alfiahratu || Disembur dong😂😂
whtzuppp || 😭😭😭😭eoyy
fitriyah.ale || Dil penasaran pak muh main vr yg richies plank... Tp u cobain dlu kira2 pak muh kuat g😂
nabilaysda || @sarawijayanto undang merekaa nyaiiii
_arlnhrtnt || 😂😂😂😂😂
feri161718 || Harus ikut DMS penelusuran   kayaknya seru nih
evadamayanti23 || 😭🤣🤣🤣
figo_mtammimah || Dila tolong Dila 😂
oppiecha || 😂😂😂😂😂😂😂 ngakak
n.zifaaa____ || endingnya itu lohh😂😂🤣🤣
ceendyns || 😭
lulilyliyuliayay || 😭🤣🤣🤣
nishrinairfn || 😭😭😭🤣🔥
sipor870 || 😂😂😂😂😢
herlinda.novika || 🤣🤣
nuraini_hsn24 || 🤣🤣 kok pah d sembur....
ernalupita || Ahahaha fadill ada2 aja dahh 🤣
indriahermawati || 🤣🤣🤣
alfi_nuri_k || 😭😭
ibukekayyesamazaya || Hahaha
tasyasabiill || @risa_saraswati @tim_jurnalrisa kayanya mau ikutan nii
a_yurhyu || Bagusss pak muhh😍😍
ani_widiyawati || Blm apa apa aja gw dh ketawa ngakak
giselaa_imm || 🤣🤣🤣🤣
n.rputriii || 😭🤣🤣🤣ga kuat nonton ini Manahan abis oprasi SC😭ya allah🤣🤣🤣 ngakak sampe sakit perut
kriisdafhs || 🤣😭🤣🤣😭
lellynr26 || 😭😭😭
niaaja.a_a || 😂😂😂
ibaaas__ || 😂😂😂
lina_fg || 🤣😭🤣😭
ibaaas__ || 😂😂😂😂😂😂
ninadesmal || 😭😭😭😭😭
al.tannnn_ || 😂😂😂😂😂
ana_lay90 || 🤣🤣 ga bisa ngga ngakak endingnya
bluekusumawardhani || 😂😂
t2_titamua || 🤣🤣🤣
rifkyseptiaji || Bapaknya bisa diajak kerjasama jadi dukun
skydream_aza || 😂😂😂😂
debie.pingkan || 🤣 Nemu aja ide nya
ganiya_galery || 😂😂😂😂
decilpuspitasari || @sarawijayanto ajak Fadil @fadi.iskandar
ganiya_galery || hahhahahahaha😭🤣
havaniest || Uka” versi arab 🤣🤣
pskalinnaa_ || Ajakin ka @tim_jurnalrisa
lubnaljufri || 😂😂😂😂😂😂😂
she_anyecia || @tim_jurnalrisa ajakin uji nyali beneran😭
elsazsya || 🤣
sspti.tia || Hahahhaha 🤣🤣🤣🔥
rahayuu2218 || 🤣🤣
bintusuri_ || @tim_jurnalrisa @risa_saraswati ajakin dongg biar beneran😂
nelaa.ya || 😭😭😭
aisyah.nasution99 || Bisa x ini kak @sarawijayanto @diarymisterisara yok ramein yook😂
aliffahmalik || H
mastura_raa22 || 😭😭
zaaakyh._ || Anak dan bapak agak2 memang😂
eksapuspita95 || Gak kuat😭😭😭🤣
renmouri || 😭😭😭
nurafrianisriwahyuni || ending yg sangat dinantikan netizen wkwk
_qutrunnada_ || 🤣🤣
nabila_biabila || Jago pak muh 😍
fathusshofiyyulf || kurangg banyak semburnyaaa pak muh🤣
ramaahnf_ || 🤣🤣🤣
ellulfah138 || 😆👍
ady_marcel.24 || 🤣🤣🤣
pycegil || 🤣🤣🤣🤣
aisyahraj_72 || 🤣🤣🤣 auto sadar
lyr_yla || Parodi apa lagi ini
my_falsx || Kayaknya pak muh yg gak kuat berada di dekat bang fadil
vhyarahma_19 || 🤣🤣🤣👏
triahwlndr_ || Sempat sempatnya ujinyali main hp
